DayCount,Date,VancouverCoastal_recovered,Interior_recovered,Fraser_recovered,Island_recovered,Northern_recovered
1,2020-01-27,0,0,0,0,0
2,2020-01-28,0,0,0,0,0
3,2020-01-29,0,0,0,0,0
4,2020-01-30,0,0,0,0,0
5,2020-01-31,0,0,0,0,0
6,2020-02-01,0,0,0,0,0
7,2020-02-02,0,0,0,0,0
8,2020-02-03,0,0,0,0,0
9,2020-02-04,0,0,0,0,0
10,2020-02-05,0,0,0,0,0
11,2020-02-06,0,0,0,0,0
12,2020-02-07,0,0,0,0,0
13,2020-02-08,0,0,0,0,0
14,2020-02-09,0,0,0,0,0
15,2020-02-10,0,0,0,0,0
16,2020-02-11,0,0,0,0,0
17,2020-02-12,0,0,0,0,0
18,2020-02-13,0,0,0,0,0
19,2020-02-14,0,0,0,0,0
20,2020-02-15,0,0,0,0,0
21,2020-02-16,0,0,0,0,0
22,2020-02-17,0,0,0,0,0
23,2020-02-18,0,0,0,0,0
24,2020-02-19,1,0,0,0,0
25,2020-02-20,1,0,0,0,0
26,2020-02-21,1,0,0,0,0
27,2020-02-22,1,0,0,0,0
28,2020-02-23,1,0,0,0,0
29,2020-02-24,1,0,0,0,0
30,2020-02-25,1,0,0,0,0
31,2020-02-26,1,0,0,0,0
32,2020-02-27,1,0,0,0,0
33,2020-02-28,1,0,0,0,0
34,2020-02-29,4,0,0,0,0
35,2020-03-01,4,0,0,0,0
36,2020-03-02,4,0,0,0,0
37,2020-03-03,4,0,0,0,0
38,2020-03-04,4,0,0,0,0
39,2020-03-05,4,0,0,0,0
40,2020-03-06,4,0,0,0,0
41,2020-03-07,4,0,0,0,0
42,2020-03-08,4,0,0,0,0
43,2020-03-09,4,0,0,0,0
44,2020-03-10,4,0,0,0,0
45,2020-03-11,4,0,0,0,0
46,2020-03-12,4,0,0,0,0
47,2020-03-13,4,0,0,0,0
48,2020-03-14,4,0,0,0,0
49,2020-03-15,4,0,0,0,0
50,2020-03-16,4,0,0,0,0
51,2020-03-17,4,0,0,0,0
52,2020-03-18,4,0,0,0,0
53,2020-03-19,4,0,0,0,0
54,2020-03-20,6,0,0,0,0
55,2020-03-21,6,0,0,0,0
56,2020-03-22,6,0,0,0,0
57,2020-03-23,136,8,2,0,0
58,2020-03-24,158,8,3,0,4
59,2020-03-25,159,8,3,8,5
60,2020-03-26,159,9,5,8,5
61,2020-03-27,159,13,90,13,5
62,2020-03-28,159,13,90,13,5
63,2020-03-29,159,13,90,13,5
64,2020-03-30,274,19,147,24,5
65,2020-03-31,291,22,163,26,5
66,2020-04-01,371,27,176,27,5
67,2020-04-02,384,29,192,29,7
68,2020-04-03,397,35,203,31,7
69,2020-04-04,415,37,212,32,7
70,2020-04-05,415,37,212,32,7
71,2020-04-06,448,49,245,34,7